Date,Open,High,Low,Close,Volume
2016-01-04,50.27,50.46,49.39,49.93,12240282.0
2016-01-04,50.27,50.46,49.39,49.93,12240282.0
2016-01-04,50.27,50.46,49.39,49.93,12240282.0
2016-01-04,50.27,50.46,49.39,49.93,12240282.0
2016-01-05,50.18,50.18,49.085,49.55,8726018.0
2016-01-06,48.98,48.99,48.15,48.46,12779003.0
2016-01-07,47.59,47.97,46.23,46.64,12243020.0
2016-01-08,47.06,47.6,46.15,46.28,9713690.0
2016-01-09,47.06,47.6,46.15,46.28,9713690.0
2016-01-10,47.06,47.6,46.15,46.28,9713690.0
2016-01-11,46.36,46.51,44.8,45.4,10179385.0
2016-01-12,45.95,45.96,44.57,44.79,9811880.0
2016-01-13,45.22,45.26,43.53,43.63,9176119.0
2016-01-14,43.66,44.695,43.04,44.24,14201696.0
2016-01-15,42.86,43.6194,42.2,42.96,9942299.0
2016-01-16,42.86,43.6194,42.2,42.96,9942299.0
2016-01-17,42.86,43.6194,42.2,42.96,9942299.0
2016-01-18,42.86,43.6194,42.2,42.96,9942299.0
2016-01-19,43.477,43.57,41.6503,42.07,10541661.0
2016-01-20,41.58,41.74,40.26,41.32,14887919.0
2016-01-21,41.35,42.14,40.76,42.0,9418559.0
2016-01-22,43.07,44.14,42.41,43.22,9872185.0
2016-01-23,43.07,44.14,42.41,43.22,9872185.0
2016-01-24,43.07,44.14,42.41,43.22,9872185.0
2016-01-25,42.85,43.28,42.09,42.18,7306375.0
2016-01-26,42.35,42.76,41.415,42.46,6991646.0
2016-01-27,42.59,43.03,41.39,41.41,7858769.0
2016-01-28,42.0,42.14,40.7,41.55,7850631.0
2016-01-29,41.83,42.0,40.69,42.0,13438827.0
2016-01-30,41.83,42.0,40.69,42.0,13438827.0
2016-01-31,41.83,42.0,40.69,42.0,13438827.0
2016-02-01,41.58,42.77,41.2195,42.58,8715709.0
2016-02-02,44.14,45.18,42.82,45.03,16410987.0
2016-02-03,45.73,47.05,45.7,46.74,16750333.0
2016-02-04,46.93,47.64,46.73,47.39,13177273.0
2016-02-05,47.48,47.5,46.41,46.69,8030373.0
2016-02-06,47.48,47.5,46.41,46.69,8030373.0
2016-02-07,47.48,47.5,46.41,46.69,8030373.0
2016-02-08,46.46,46.94,45.2,46.23,13511165.0
2016-02-09,45.71,47.2,45.71,46.6,8201069.0
2016-02-10,46.76,47.19,45.98,46.16,10291604.0
2016-02-11,45.16,45.83,44.4,44.8,10767455.0
2016-02-12,45.28,46.1,44.89,46.01,7185415.0
2016-02-13,45.28,46.1,44.89,46.01,7185415.0
2016-02-14,45.28,46.1,44.89,46.01,7185415.0
2016-02-15,45.28,46.1,44.89,46.01,7185415.0
2016-02-16,46.19,46.88,45.99,46.83,6566546.0
2016-02-17,47.1,48.12,46.95,47.99,10449531.0
2016-02-18,47.92,48.03,47.411,47.57,5346425.0
2016-02-19,47.41,47.46,46.99,47.08,5289114.0
2016-02-20,47.41,47.46,46.99,47.08,5289114.0
2016-02-21,47.41,47.46,46.99,47.08,5289114.0
2016-02-22,47.57,48.335,47.51,47.89,7760239.0
2016-02-23,47.6,47.6,46.61,46.98,6331031.0
2016-02-24,46.4,47.23,46.18,47.19,6192943.0
2016-02-25,47.34,48.1,46.96,48.1,5370357.0
2016-02-26,48.46,49.06,48.32,48.74,5642037.0
2016-02-27,48.46,49.06,48.32,48.74,5642037.0
2016-02-28,48.46,49.06,48.32,48.74,5642037.0
2016-02-29,48.63,49.74,48.51,48.61,8720533.0
2016-03-01,49.19,50.11,49.05,50.07,7295790.0
2016-03-02,49.55,50.0,48.945,49.62,6968892.0
